number,image_url,name,position,dob,nationality,height,foot,joined,joined_from,contract,value,club_name
40,https://img.a.transfermarkt.technology/portrait/medium/205927-1669205618.jpg?lm=1,Dominik Livakovic,Goalkeeper,"Jan 9, 1995",Croatia,"1,88",right,"Aug 31, 2015",NK Zagreb,"Jun 15, 2024",14.00m,GNK Dinamo Zagreb
33,https://img.a.transfermarkt.technology/portrait/medium/293185-1611931768.jpg?lm=1,Ivan Nevistic,Goalkeeper,"Jul 31, 1998",Croatia,"1,95",right,"Jan 28, 2021",NK Lokomotiva Zagreb,"Jun 15, 2025",1.50m,GNK Dinamo Zagreb
1,https://img.a.transfermarkt.technology/portrait/medium/131310-1605120212.jpg?lm=1,Danijel Zagorac,Goalkeeper,"Feb 7, 1987",Croatia,"1,86",right,"Jul 11, 2016",RNK Split,"Jun 30, 2026",200k,GNK Dinamo Zagreb
37,https://img.a.transfermarkt.technology/portrait/medium/371001-1683031171.jpg?lm=1,Josip Sutalo,Centre-Back,"Feb 28, 2000",Croatia,"1,90",right,"Jan 7, 2020",GNK Dinamo Zagreb II,"Jun 15, 2028",18.00m,GNK Dinamo Zagreb
55,https://img.a.transfermarkt.technology/portrait/medium/240106-1605120326.jpg?lm=1,Dino Peric,Centre-Back,"Jul 12, 1994",Croatia,"1,97",left,"Jul 7, 2017",NK Lokomotiva Zagreb,"Jun 15, 2026",5.00m,GNK Dinamo Zagreb
4,https://img.a.transfermarkt.technology/portrait/medium/431698-1630660949.jpg?lm=1,Bosko Sutalo,Centre-Back,"Jan 1, 2000",Croatia,"1,88",right,"Jul 1, 2022",Atalanta BC,"Jun 30, 2027",3.00m,GNK Dinamo Zagreb
39,https://img.a.transfermarkt.technology/portrait/medium/676266-1646599465.png?lm=1,Mauro Perkovic,Centre-Back,"Mar 22, 2003",Croatia,"1,85",left,"Feb 16, 2023",NK Istra 1961,"Jun 30, 2023",2.50m,GNK Dinamo Zagreb
28,https://img.a.transfermarkt.technology/portrait/medium/60603-1605120558.jpg?lm=1,Kévin Théophile-Catherine,Centre-Back,"Oct 28, 1989","Martinique, France","1,83",right,"Jul 6, 2018",AS Saint-Étienne,"Jun 30, 2023",1.50m,GNK Dinamo Zagreb
35,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Jakov Gurlica,Centre-Back,"Jan 10, 2004",Croatia,,,"Jan 2, 2023",GNK Dinamo Zagreb U19,"Jan 18, 2026",,GNK Dinamo Zagreb
14,https://img.a.transfermarkt.technology/portrait/medium/353634-1634892298.png?lm=1,Robert Ljubicic,Left-Back,"Jul 14, 1999","Croatia, Austria","1,78",left,"Jul 1, 2022",Rapid Vienna,"Jun 15, 2027",3.50m,GNK Dinamo Zagreb
